192.168.10.2,Switch,VLG-90
192.168.10.3,Cam,VLG-90.1
192.168.10.4,Cam,VLG-90.2
192.168.10.10,Switch,VLG-91
192.168.10.11,Cam,VLG-91.1
192.168.10.12,Cam,VLG-91.2
192.168.10.26,Switch,VLG-93
192.168.10.27,Cam,VLG-93.1
192.168.10.28,Cam,VLG-93.2
192.168.10.34,Switch,VLG-94
192.168.10.35,Cam,VLG-94.1
192.168.10.36,Cam,VLG-94.2
192.168.10.50,Switch,VLG-96
192.168.10.51,Cam,VLG-96.1
192.168.10.52,Cam,VLG-96.2
192.168.10.66,Switch,VLG-98
192.168.10.67,Cam,VLG-98.1
192.168.10.68,Cam,VLG-98.2
192.168.10.69,Cam,VLG-98.3
192.168.10.70,Cam,VLG-98.4
192.168.10.74,Switch,VLG-99
192.168.10.75,Cam,VLG-99.1
192.168.10.82,Switch,VLG-100
192.168.10.83,Cam,VLG-100.1
192.168.10.84,Cam,VLG-100.2
192.168.10.90,Switch,VLG-101
192.168.10.91,Cam,VLG-101.1
192.168.10.92,Cam,VLG-101.2
192.168.10.98,Switch,VLG-102
192.168.10.99,Cam,VLG-102.1
192.168.10.100,Cam,VLG-102.2
192.168.10.106,Switch,VLG-62
192.168.10.107,Cam,VLG-62.1
192.168.10.108,Cam,VLG-62.2
192.168.10.114,Switch,VLG-92
192.168.10.115,Cam,VLG-92.1
192.168.10.116,Cam,VLG-92.2
192.168.10.117,Cam,VLG-92.3
192.168.10.118,Cam,VLG-92.4
192.168.10.122,Switch,VLG-97
192.168.10.123,Cam,VLG-97.1
192.168.10.124,Cam,VLG-97.2
192.168.10.125,Cam,VLG-97.3
192.168.10.126,Cam,VLG-97.4
192.168.10.130,Switch,VLG-64
192.168.10.131,Cam,VLG-64.1
192.168.10.132,Cam,VLG-64.2
192.168.10.138,Switch,VLG-61
192.168.10.139,Cam,VLG-61.1
192.168.10.140,Cam,VLG-61.2
192.168.10.146,Switch,VLG-65
192.168.10.147,Cam,VLG-65.1
192.168.10.148,Cam,VLG-65.2
192.168.10.154,Switch,VLG-66
192.168.10.155,Cam,VLG-66.1
192.168.10.156,Cam,VLG-66.2
192.168.10.157,Switch,VLG-68
192.168.10.158,Cam,VLG-68.1
192.168.10.162,Switch,VLG-67
192.168.10.163,Cam,VLG-67.1
192.168.10.164,Cam,VLG-67.2
192.168.10.178,Switch1,VLG-69.1
192.168.10.179,Switch2,VLG-69.2
192.168.10.180,Cam,VLG-69.1.1
192.168.10.181,Cam,VLG-69.1.2
192.168.10.182,Cam,VLG-69.1.3
192.168.10.183,Cam,VLG-69.2.1
192.168.10.184,Cam,VLG-69.2.2,
192.168.10.194,Switch,VLG-70
192.168.10.195,Cam,VLG-70.1
192.168.10.196,Cam,VLG-70.2
192.168.10.202,Switch,VLG-71
192.168.10.203,Cam,VLG-71.1
192.168.10.204,Cam,VLG-71.2
192.168.10.205,Cam,VLG-71.3
192.168.10.218,Switch,VLG-14
192.168.10.219,Cam,VLG-14.1
192.168.10.226,Switch,VLG-15
192.168.10.227,Cam,VLG-15.1
192.168.10.234,Switch,VLG-13
192.168.10.235,Cam,VLG-13.1
192.168.10.236,Cam,VLG-13.2
192.168.10.242,Switch,VLG-16
192.168.10.243,Cam,VLG-16.1
192.168.10.244,Cam,VLG-16.2
192.168.10.250,Switch,VLG-17
192.168.10.251,Cam,VLG-17.1
192.168.10.252,Cam,VLG-17.2
192.168.11.2,Switch,VLG-18
192.168.11.3,Cam,VLG-18.1
192.168.11.4,Cam,VLG-18.2
192.168.11.10,Switch,VLG-19
192.168.11.11,Cam,VLG-19.1
192.168.11.12,Cam,VLG-19.2
192.168.11.18,Switch,VLG-20
192.168.11.19,Cam,VLG-20.1
192.168.11.26,Switch,VLG-21
192.168.11.27,Cam,VLG-21.1
192.168.11.34,Switch,VLG-22
192.168.11.35,Cam,VLG-22.1
192.168.11.42,Switch,VLG-23
192.168.11.43,Cam,VLG-23.1
192.168.11.50,Switch,VLG-24
192.168.11.51,Cam,VLG-24.1
192.168.11.66,Switch,VLG-26
192.168.11.67,Cam,VLG-26.1
192.168.11.74,Switch,VLG-27
192.168.11.75,Cam,VLG-27.1
192.168.11.76,Cam,VLG-27.2
192.168.11.90,Switch,VLG-29
192.168.11.91,Cam,VLG-29.1
192.168.11.92,Cam,VLG-29.2
192.168.11.98,Switch,VLG-30
192.168.11.99,Cam,VLG-30.1
192.168.11.100,Cam,VLG-30.2
192.168.11.106,Switch,VLG-31
192.168.11.107,Cam,VLG-31.1
192.168.11.108,Cam,VLG-31.2
192.168.11.114,Switch,VLG-32
192.168.11.115,Cam,VLG-32.1
192.168.11.116,Cam,VLG-32.2
192.168.11.122,Switch,VLG-134
192.168.11.123,Cam,VLG-134.1
192.168.11.138,Switch,VLG-106
192.168.11.139,Cam,VLG-106.1
192.168.11.140,Cam,VLG-106.2
192.168.11.146,Switch,VLG-107
192.168.11.147,Cam,VLG-107.1
192.168.11.148,Cam,VLG-107.2
192.168.11.154,Switch,VLG-108
192.168.11.155,Cam,VLG-108.1
192.168.11.156,Cam,VLG-108.2
192.168.11.162,Switch,VLG-109
192.168.11.163,Cam,VLG-109.1
192.168.11.170,Switch,VLG-110
192.168.11.171,Cam,VLG-110.1
192.168.11.172,Cam,VLG-110.2
192.168.11.178,Switch,VLG-111
192.168.11.179,Cam,VLG-111.1
192.168.11.180,Cam,VLG-111.2
192.168.11.183,Switch,VLG-112
192.168.11.184,Cam,VLG-112.1
192.168.11.185,Cam,VLG-112.2
192.168.11.186,Cam,VLG-112.3
192.168.11.187,Cam,VLG-112.4
192.168.11.194,Switch,VLG-113
192.168.11.195,Cam,VLG-113.1
192.168.11.196,Cam,VLG-113.2
192.168.11.197,Switch2,VLG-113/2
192.168.11.226,Switch,VLG-117
192.168.11.227,Cam,VLG-117.1
192.168.11.228,Cam,VLG-117.2
192.168.11.234,Switch,VLG-118
192.168.11.235,Cam,VLG-118.1
192.168.11.236,Cam,VLG-118.2
192.168.11.242,Switch,VLG-119
192.168.11.243,Cam,VLG-119.1
192.168.11.244,Cam,VLG-119.2
192.168.11.245,Cam,VLG-119.3
192.168.11.250,Switch,VLG-120
192.168.11.251,Cam,VLG-120.1
192.168.12.2,Switch,VLG-121
192.168.12.3,Cam,VLG-121.1
